Sl No,date,day,shift,coursecode,roomno,rollnolist
11,20-09-2025,Saturday,Morning,ME6101,107,"2521ME13,"
12,20-09-2025,Saturday,Morning,CS2101,308,"2401CS21,2401CS22,2401CS23,2401CS24,2401CS25,2401CS26,2401CS27,2401CS28,2401CS29,2401CS30,2401CS31,2401CS32,2401CS33,2401CS34,2401CS35,2401CS36,2401CS37,2401CS38,2401CS39,2401CS40,2401CS41,2401CS42,2401CS43,2401CS44,2401CS45,2401CS46,"
13,20-09-2025,Saturday,Morning,ME546,308,"2201CB20,2201CB31,2201CB44,2201CB54,2201CB59,2201MM05,2201MM11,2201MM12,2201MM13,2201MM14,2201MM18,2201MM19,2201MM25,2201MM30,2201MM34,2201MM36,2201MM38,2201MM39,2201PH11,2201PH18,2201PH19,2201PH23,2201PH32,2201PH34,"
14,20-09-2025,Saturday,Morning,EC2103,308,"2401EC28,2401EC29,2401EC31,2401EC32,2401EC34,2401EC35,2401EC36,2401EC37,2401EC38,2401EC39,"
15,20-09-2025,Saturday,Morning,EC3103,502,"2301EC02,2301EC03,2301EC05,2301EC06,2301EC07,2301EC08,2301EC09,2301EC10,2301EC11,2301EC12,2301EC13,2301EC14,2301EC15,2301EC16,2301EC17,2301EC18,2301EC19,2301EC20,2301EC21,2301EC22,2301EC23,2301EC24,2301EC25,2301EC26,2301EC27,2301EC28,2301EC29,2301EC30,2301EC31,2301EC32,2301EC33,2301EC34,2301EC35,2301EC36,2301EC37,2301EC38,2301EC39,2301EC40,2301EC41,2301EC42,2301EC44,2301EC45,2301EC47,2301EC48,2301EC49,2301EC50,2301EC51,2301EC52,2301EC53,2301EC54,2301EC55,2301EC56,2301EC57,2301EC58,2301EC59,2301EC60,2301ME20,2301MM24,2301PH02,2301PH08,2302CM01,2302CM02,2302CM03,2302CM04,2302CM05,2302CM06,2302CM07,2302CM08,2302CM09,2302VL01,2302VL02,2302VL03,2302VL04,2302VL05,2302VL06,2302VL07,"
16,20-09-2025,Saturday,Morning,CS6112,502,"2422CS23,2422CS24,2511AM08,2511CB08,2511CM01,2511CM02,2511CM03,2511CM04,2511CM05,2511CM06,2511CM07,2511CM08,2511CM09,2511CM10,2511CM11,2511CM12,2511CM14,2511CM16,2511CM17,2511EV01,2511EV02,2511EV03,2511EV05,2511EV06,"
17,20-09-2025,Saturday,Morning,PH403,LT001,"2201CE06,2201CE08,2201CE11,2201CE12,2201CE14,2201CE17,2201CE18,2201CE19,2201CE22,2201CE23,2201CE25,2201CE26,2201CE27,2201CE28,2201CE29,2201CE31,2201CE33,2201CE38,2201CE39,2201CE41,2201CE43,2201CE44,2201CE52,2201CE53,2201CE54,2201CE56,2201CE57,2201CE61,2201CE64,2201CE68,2201CE69,2201CS04,2201CS59,2201CS66,2201CS72,2201CS73,2201CS76,2201CS84,2201CS92,2201EE03,2201EE04,2201EE05,2201EE06,2201EE09,2201EE11,2201EE12,2201EE18,2201EE23,2201EE24,2201EE25,"
18,20-09-2025,Saturday,Morning,EC2103,LT001,"2401EC40,2401EC41,2401EC42,2401EC43,2401EC44,2401EC45,2401EC46,2401EC47,2401EC48,2401EC49,2401EC50,2401EC51,2401EC52,2401EC53,2401EC54,2401EC55,2401EC56,2401EC57,2401EC58,2401EC59,2401EC60,2401EC61,2401EC62,2401EC63,2401MC51,2402CM01,2402CM02,2402CM03,2402CM04,2402CM05,2402CM06,2402CM08,2402CM09,2402CM10,2402VL01,2402VL02,2402VL03,2402VL04,2402VL05,2402VL06,2402VL07,2402VL08,2402VL09,2402VL10,2402VL11,2403EC01,2403EC02,2403EC03,2403EC04,2403EC05,"
19,20-09-2025,Saturday,Morning,CS2101,LT003,"2401CS47,2401CS48,2401CS49,2401CS50,2401CS51,2401CS52,2401CS53,2401CS54,2401CS55,2401CS56,2401CS57,2401CS58,2401CS59,2401CS60,2401CS61,2401CS62,2401CS63,2401CS64,2401CS65,2401CS66,2401CS67,2401CS68,2401CS69,2401CS70,2401CS71,2401CS72,2401CS73,2401CS74,2401CS75,2401CS76,2401CS77,2401CS78,2401CS79,2401CS80,2401CS81,2401CS82,2401CS83,2401CS84,2401CS85,2401CS85,2401CS86,2401CS87,2401CS88,2401CS89,2401CS90,2401CS91,2401CS92,2401CS93,2401CS94,2401CS95,2401CS96,2402CS01,2402CS02,2402CS03,2402CS05,2402CS06,2402CS07,2402CS08,2402CS09,2402CS10,2402CS11,2402CS12,2403AI01,2403AI02,2403AI03,2403AI04,2403AI05,2403CS01,2403CS02,2403CS03,2403CS04,2403CS05,"
20,20-09-2025,Saturday,Morning,EE2103,LT103,"2401CS87,2401CS95,2401EC49,2401EC51,2401EC55,2401EC62,2401EE01,2401EE02,2401EE03,2401EE04,2401EE05,2401EE06,2401EE07,2401EE08,2401EE10,2401EE11,2401EE12,2401EE13,2401EE15,2401EE16,2401EE17,2401EE18,2401EE19,2401EE20,2401EE25,2401EE26,2401EE27,2401EE28,2401EE29,2401EE30,2401EE31,2401EE33,2401EE35,2401EE36,2401EE37,2401EE38,2401EE39,2401EE40,2401EE41,2401EE42,2401EE43,2401EE44,2401EE45,2401EE46,2401EE48,2401EE50,2401EE51,2401EE52,2401EE53,2401EE54,2401EE55,2401EE56,2401EE57,2402CS12,2402PC01,2402PC02,2402PC03,2402PC04,2402PC06,2402PC07,2402PC08,2402PC10,2402PC11,2403EE01,2403EE02,2403EE03,2403EE04,2403EE05,2403EE06,"
21,20-09-2025,Saturday,Evening,MA1101,102,"2301CB52,2301CT36,2301EE14,2302ST07,2401CB29,2401CB29,2401CB48,2401CE50,2401CE64,2401CT10,2401CT35,2401EC47,2401EC48,2401EE15,2401ME14,2401ME26,2401ME30,2401ME81,2401MM07,2401MM21,2402CM09,2403ES05,2501AI01,2501AI02,2501AI03,2501AI04,2501AI05,2501AI06,2501AI07,2501AI08,2501AI09,2501AI10,2501AI11,2501AI12,2501AI13,2501AI14,2501AI15,2501AI16,2501AI17,2501AI18,2501AI19,2501AI20,2501AI21,2501AI22,2501AI23,2501AI24,2501AI25,2501AI26,2501AI27,2501AI28,2501AI29,2501AI30,2501AI31,2501AI32,2501AI33,2501AI34,2501AI35,2501AI36,2501AI37,2501AI38,2501AI39,2501AI40,2501AI41,2501AI42,2501AI43,2501AI44,2501AI45,2501AI46,2501AI47,2501AI48,2501AI49,2501CB01,2501CB02,2501CB03,2501CB04,2501CB05,2501CB06,2501CB08,2501CB09,2501CB10,"
22,20-09-2025,Saturday,Evening,MA1101,104,"2501CB11,2501CB12,2501CB13,2501CB14,2501CB15,2501CB16,2501CB17,2501CB18,2501CB19,2501CB20,2501CB21,2501CB22,2501CB23,2501CB24,2501CB25,2501CB26,2501CB27,2501CB28,2501CB29,2501CB30,2501CB31,2501CB32,2501CB33,2501CB34,2501CB35,2501CB36,2501CB38,2501CB39,2501CB40,2501CB41,2501CB42,2501CB43,2501CB44,2501CB45,2501CB46,2501CB47,2501CB48,2501CB49,2501CB50,2501CB51,2501CB52,2501CB53,2501CB54,2501CB55,2501CB56,2501CB58,2501CB59,2501CB60,2501CB61,2501CB62,2501CB63,2501CB64,2501CB65,2501CE01,2501CE02,2501CE03,2501CE04,2501CE05,2501CE06,2501CE07,2501CE08,2501CE09,2501CE10,2501CE11,2501CE12,2501CE13,2501CE14,2501CE15,2501CE16,2501CE17,2501CE18,2501CE19,2501CE20,2501CE21,2501CE22,2501CE23,2501CE24,2501CE25,2501CE26,2501CE27,"
23,20-09-2025,Saturday,Evening,MA1101,107,"2501CE28,2501CE29,2501CE30,2501CE31,2501CE32,2501CE33,2501CE34,2501CE35,2501CE36,2501CE37,2501CE38,2501CE39,2501CE40,2501CE41,2501CE42,2501CE43,2501CE44,2501CE45,2501CE46,2501CE47,2501CE48,2501CE49,2501CE50,2501CE51,2501CE52,2501CE53,2501CE54,2501CE55,2501CE56,2501CE57,2501CE58,2501CE59,2501CE60,2501CE61,2501CE62,2501CE63,2501CE64,2501CE65,2501CE68,2501CE69,2501CS01,2501CS02,2501CS03,2501CS04,2501CS05,2501CS06,2501CS07,2501CS08,2501CS09,2501CS10,2501CS11,2501CS12,2501CS13,2501CS14,2501CS15,2501CS16,2501CS17,2501CS18,2501CS19,2501CS20,2501CS21,2501CS22,2501CS23,2501CS25,2501CS26,2501CS27,2501CS28,2501CS29,2501CS30,2501CS31,2501CS32,2501CS33,2501CS34,2501CS35,2501CS36,2501CS37,2501CS38,2501CS39,2501CS40,2501CS41,"
24,20-09-2025,Saturday,Evening,MA1101,109,"2501CS42,2501CS43,2501CS44,2501CS45,2501CS46,2501CS47,2501CS48,2501CS49,2501CS50,2501CS51,2501CS52,2501CS53,2501CS54,2501CS55,2501CS56,2501CS57,2501CS58,2501CS59,2501CS60,2501CS61,2501CS62,2501CS63,2501CS64,2501CS65,2501CS66,2501CS67,2501CS68,2501CS69,2501CS70,2501CS71,2501CS72,2501CS73,2501CS74,2501CS75,2501CS76,2501CS77,2501CS78,2501CS79,2501CS80,2501CS81,2501CS82,2501CS83,2501CS84,2501CS85,2501CS86,2501CS87,2501CS88,2501CS89,2501CT01,2501CT02,2501CT03,2501CT04,2501CT05,2501CT06,2501CT07,2501CT08,2501CT09,2501CT10,2501CT11,2501CT12,2501CT13,2501CT14,2501CT15,2501CT16,2501CT17,2501CT18,2501CT19,2501CT20,2501CT21,2501CT22,2501CT23,2501CT24,2501CT25,2501CT26,2501CT27,2501CT28,2501CT29,2501CT30,2501CT31,2501CT32,"
25,20-09-2025,Saturday,Evening,ME3101,301,"2301ME01,2301ME04,2301ME05,"
26,20-09-2025,Saturday,Evening,HS7106,301,"2422HS05,2422HS09,2422HS11,2422HS12,2521HS05,2521HS10,"
27,20-09-2025,Saturday,Evening,MM3102,301,"2301MM02,2301MM03,2301MM04,2301MM05,2301MM06,2301MM07,2301MM08,2301MM09,2301MM10,2301MM11,2301MM12,2301MM13,2301MM15,2301MM17,2301MM18,2301MM19,2301MM40,"
28,20-09-2025,Saturday,Evening,CB3102,302,"2301CB01,2301CB02,2301CB03,2301CB04,2301CB05,2301CB06,2301CB07,2301CB08,2301CB09,2301CB10,2301CB11,2301CB13,2301CB14,2301CB15,2301CB16,2301CB17,2301CB19,2301CB21,2301CB22,2301CB23,2301CB24,2301CB26,2301CB27,2301CB28,2301CB30,2301CB31,2301CB32,2301CB33,2301CB34,2301CB35,"
29,20-09-2025,Saturday,Evening,MA001,302,"2503PH04,"
30,20-09-2025,Saturday,Evening,PH7101,303,"2422MA01,2422MA03,2422MA04,2422MA05,2422PH01,2521CE07,2521MA02,2521MA03,2521MA07,2521PH01,2521PH04,2521PH06,2521PH07,2521PH08,2521PH09,2521PH12,2521PH13,"
31,20-09-2025,Saturday,Evening,EP3102,303,"2301PH01,2301PH02,2301PH03,2301PH04,2301PH05,2301PH06,2301PH07,2301PH08,2301PH10,2301PH11,2301PH12,2301PH13,2301PH14,2301PH16,2301PH17,2301PH18,2301PH19,2301PH20,2301PH21,2301PH22,2301PH24,2301PH25,2301PH27,2301PH28,2301PH29,2301PH30,2301PH31,2301PH32,"
32,20-09-2025,Saturday,Evening,MA5102,303,"2412MA01,2412MA02,2412MA04,2412MA05,2412MA07,2412MA08,2412MA09,2412MA10,2412MA11,2412MA12,2412MA13,2412MA14,2412MA15,2412MA16,2412MA17,2412MA18,2412MA19,2412MA20,2412MA21,2412MA22,2412MA23,2412MA24,2412MA25,"
33,20-09-2025,Saturday,Evening,MA1101,308,"2501CT33,2501CT35,2501CT36,2501EC01,2501EC02,2501EC03,2501EC04,2501EC05,2501EC06,2501EC07,2501EC08,2501EC09,2501EC10,2501EC11,2501EC12,2501EC13,2501EC14,2501EC15,2501EC16,2501EC17,2501EC18,2501EC19,2501EC20,2501EC21,2501EC22,2501EC23,2501EC24,2501EC25,2501EC26,2501EC27,2501EC28,2501EC29,"
34,20-09-2025,Saturday,Evening,CB3102,308,"2301CB36,2301CB37,2301CB38,2301CB40,2301CB41,2301CB42,2301CB43,2301CB44,2301CB45,2301CB46,2301CB47,2301CB48,2301CB49,2301CB50,2301CB51,2301CB52,2301CB53,2301CB54,2301CB55,2301CB56,2301CB57,2301CB58,2301CB59,2301CB61,2301CB62,2301CB63,2301CB64,2301CB65,2301CB66,2301CB67,"
35,20-09-2025,Saturday,Evening,MM3102,308,"2301MM21,2301MM22,2301MM23,2301MM24,2301MM25,2301MM26,2301MM27,2301MM29,2301MM30,2301MM31,2301MM32,2301MM33,2301MM34,2301MM35,2301MM36,2301MM37,2301MM38,2301MM39,"
37,20-09-2025,Saturday,Evening,MA1101,502,"2501EC30,2501EC32,2501EC33,2501EC34,2501EC35,2501EC36,2501EC37,2501EC38,2501EC39,2501EC41,2501EC42,2501EC43,2501EC44,2501EC45,2501EC46,2501EC47,2501EC48,2501EC49,2501EC50,2501EE01,2501EE02,2501EE03,2501EE04,2501EE05,2501EE06,2501EE07,2501EE08,2501EE09,2501EE10,2501EE11,2501EE12,2501EE13,2501EE14,2501EE15,2501EE16,2501EE17,2501EE18,2501EE19,2501EE20,2501EE21,2501EE22,2501EE23,2501EE24,2501EE25,2501EE26,2501EE28,2501EE29,2501EE30,2501EE31,2501EE32,2501EE34,2501EE35,2501EE36,2501EE37,2501EE38,2501EE39,2501EE40,2501EE41,2501EE42,2501EE43,2501EE44,2501EE45,2501ES01,2501ES02,2501ES03,2501ES04,2501ES05,2501ES06,2501ES07,2501ES08,2501ES09,2501ES10,2501ES11,2501ES12,2501ES13,2501ES14,2501ES15,2501ES16,2501ES17,2501ES18,2501ES19,2501ES20,2501ES21,2501ES22,2501MC01,2501MC02,2501MC03,2501MC04,2501MC05,2501MC06,2501MC07,2501MC08,2501MC09,2501MC10,2501MC11,2501MC12,2501MC13,2501MC14,2501MC15,2501MC16,"
38,20-09-2025,Saturday,Evening,MA1101,LT001,"2501MC17,2501MC18,2501MC19,2501MC20,2501MC21,2501MC22,2501MC23,2501MC24,2501MC25,2501MC26,2501MC27,2501MC28,2501MC29,2501MC30,2501MC31,2501MC32,2501MC33,2501MC34,2501MC35,2501MC36,2501MC37,2501MC38,2501MC39,2501MC40,2501MC41,2501MC42,2501MC43,2501MC44,2501MC45,2501MC46,2501MC47,2501MC48,2501ME01,2501ME02,2501ME03,2501ME04,2501ME05,2501ME06,2501ME07,2501ME08,2501ME09,2501ME10,2501ME11,2501ME12,2501ME13,2501ME14,2501ME15,2501ME16,2501ME17,2501ME18,"
39,20-09-2025,Saturday,Evening,ME3101,LT001,"2301ME07,2301ME09,2301ME10,2301ME11,2301ME12,2301ME13,2301ME14,2301ME15,2301ME16,2301ME17,2301ME18,2301ME19,2301ME20,2301ME21,2301ME22,2301ME23,2301ME24,2301ME25,2301ME26,2301ME27,2301ME28,2301ME29,2301ME30,2301ME32,2301ME33,2301ME34,2301ME35,2301ME36,2301ME37,2301ME38,2301ME39,2301ME41,2301ME42,2301ME43,2301ME44,2301ME45,2301ME46,2301ME47,2301ME48,2301ME49,2301ME51,2301ME52,2301ME53,2301ME54,2301ME55,2301ME56,2301ME57,2301ME58,2301ME59,2301ME60,"
40,20-09-2025,Saturday,Evening,MA1101,LT002,"2501ME19,2501ME20,2501ME21,2501ME22,2501ME23,2501ME24,2501ME25,2501ME26,2501ME27,2501ME28,2501ME29,2501ME30,2501ME31,2501ME32,2501ME33,2501ME34,2501ME35,2501ME36,2501ME37,2501ME38,2501ME40,2501ME41,2501ME42,2501ME43,2501ME44,2501ME45,2501ME46,2501ME47,2501ME48,2501ME49,2501ME50,2501ME51,2501ME52,2501ME53,2501ME54,2501ME55,2501ME56,2501ME57,2501ME58,2501ME60,"
41,20-09-2025,Saturday,Evening,CS3103,LT002,"2301AI01,2301AI02,2301AI03,2301AI04,2301AI05,2301AI06,2301AI07,2301AI08,2301AI09,2301AI10,2301AI11,2301AI12,2301AI13,2301AI14,2301AI15,2301AI16,2301AI17,2301AI18,2301AI19,2301AI20,2301AI21,2301AI22,2301AI23,2301AI24,2301AI25,2301AI26,2301AI28,2301AI29,2301AI30,2301AI31,2301AI32,2301AI33,2301AI34,2301AI35,2301AI36,2301AI38,2301AI39,2301AI40,2301AI41,2301AI42,"
42,20-09-2025,Saturday,Evening,MA1101,LT003,"2501ME61,2501ME62,2501ME63,2501ME64,2501ME65,2501ME66,2501ME67,2501ME68,2501ME69,2501ME70,2501ME71,2501ME72,2501ME73,2501ME74,2501ME75,2501ME76,2501ME77,2501ME78,2501ME79,2501ME80,2501ME81,2501ME82,2501ME83,2501MM01,2501MM02,2501MM04,2501MM05,2501MM06,2501MM07,2501MM08,2501MM09,2501MM10,2501MM11,2501MM12,2501MM13,2501MM14,2501MM15,2501MM16,2501MM17,2501MM18,2501MM19,2501MM20,2501MM21,2501MM22,2501MM23,2501MM24,2501MM25,2501MM26,2501MM27,2501MM28,2501MM29,2501MM30,2501MM31,2501MM32,2501MM33,2501MM34,2501MM35,2501MM36,2501MM37,2501MM38,2501MM39,2501MM40,2501MM41,2501MM42,2501MM43,2501PH01,2501PH02,2501PH03,2501PH04,2501PH05,2501PH06,2501PH07,2501PH08,2501PH09,2501PH10,"
43,20-09-2025,Saturday,Evening,MA3101,LT003,"2301MC04,2301MC05,2301MC07,2301MC08,2301MC09,2301MC10,2301MC11,2301MC12,2301MC13,2301MC14,2301MC15,2301MC16,2301MC17,2301MC18,2301MC19,2301MC20,2301MC21,2301MC22,2301MC23,2301MC24,2301MC25,2301MC26,2301MC28,2301MC29,2301MC30,2301MC31,2301MC32,2301MC33,2301MC34,2301MC35,2301MC36,2301MC37,2301MC38,2301MC39,2301MC40,2301MC41,2301MC42,2301MC43,2301MC44,2301MC45,2301MC46,2301MC47,2301MC49,2301MC50,2301MC51,2301MC52,2301MC53,2301MC54,2301MC55,2301MC57,2301MC58,2301MC59,2301MC60,2301MC61,2302MC01,2302MC02,2302MC03,2302MC04,2302MC05,2302MC06,2302MC07,2302MC09,2302MC10,2302MC11,2302MC12,"
44,20-09-2025,Saturday,Evening,CE5101,LT003,"2511EV01,2511EV02,2511EV03,2511EV05,2511EV06,2511EV07,2511EV08,2511EV09,2511EV10,"
45,20-09-2025,Saturday,Evening,MA1101,LT101,"2501PH11,2501PH12,2501PH13,2501PH14,2501PH15,2501PH16,2501PH17,2501PH18,2501PH19,2501PH20,2501PH21,2501PH22,2501PH23,2501PH24,2501PH25,2501PH26,2501PH27,2501PH28,2501PH29,2501PH30,2501PH31,2501PH32,2501PH33,2501PH34,2501PH35,2501PH36,2501PH37,2501PH38,2502CM01,2502CM02,2502CM03,2502CM04,2502CM05,2502CM06,2502CM07,2502CM08,2502CS01,2502CS02,2502CS03,2502CS04,2502CS05,2502CS06,2502CS07,2502CS08,2502CS09,2502GT01,2502GT02,2502GT03,2502GT04,2502GT06,"
46,20-09-2025,Saturday,Evening,CS3103,LT101,"2301AI43,2301AI44,2301AI45,2301AI46,2301AI47,2301AI48,2301AI49,2301AI50,2301AI51,2301AI52,2301AI53,2301AI54,2301AI55,2301AI56,2301AI57,2301CS01,2301CS02,2301CS03,2301CS04,2301CS05,2301CS06,2301CS07,2301CS08,2301CS09,2301CS10,2301CS11,2301CS12,2301CS13,2301CS14,2301CS15,2301CS16,2301CS17,2301CS18,2301CS19,2301CS20,2301CS21,2301CS22,2301CS23,2301CS24,2301CS25,2301CS26,2301CS27,2301CS28,2301CS29,2301CS30,2301CS31,2301CS32,2301CS33,2301CS34,2301CS35,"
47,20-09-2025,Saturday,Evening,MA1101,LT102,"2502GT09,2502MC01,2502MC02,2502MC03,2502MC04,2502MC05,2502MC06,2502MC07,2502MC08,2502MC10,2502MT01,2502MT02,2502MT03,2502MT04,2502MT05,2502MT06,2502MT07,2502MT08,2502MT09,2502MT10,2502PC01,2502PC02,2502PC03,2502PC04,2502PC05,2502PC06,2502PC07,2502PC08,2502PC09,2502PC10,2502ST01,2502ST02,2502ST03,2502ST04,2502ST05,2502ST06,2502ST07,2502ST08,2502ST09,2502ST10,"
48,20-09-2025,Saturday,Evening,MA1101,LT103,"2502VL01,2502VL02,2502VL03,2502VL04,2502VL06,2502VL07,2502VL08,2502VL09,2502VL10,2503AI01,2503AI02,2503AI03,2503AI04,2503CB01,2503CB02,2503CB03,2503CB04,2503CB05,2503CE01,2503CE02,2503CE03,2503CE04,2503CE05,2503CE06,2503CS01,2503CS02,2503CS03,2503CS04,2503CS05,2503CT01,2503CT02,2503CT03,2503EC01,2503EC02,2503EC03,2503EC04,2503EE01,2503EE02,2503EE03,2503EE04,2503EE05,2503EE06,2503ES01,2503ES02,2503ES03,2503ES04,2503ES05,2503MC01,2503MC02,2503MC03,2503MC04,2503MC05,2503ME01,2503ME02,2503ME03,2503ME04,2503ME05,2503ME06,2503ME07,2503ME08,2503ME09,2503ME10,2503ME11,2503ME12,2503ME13,2503ME14,2503ME15,2503MM01,2503MM02,2503MM03,2503MM04,2503PH01,2503PH02,2503PH03,2503PH04,"
49,20-09-2025,Saturday,Evening,CS3103,LT103,"2301CS36,2301CS37,2301CS38,2301CS39,2301CS40,2301CS41,2301CS42,2301CS43,2301CS44,2301CS45,2301CS46,2301CS47,2301CS48,2301CS49,2301CS50,2301CS51,2301CS52,2301CS53,2301CS54,2301CS55,2301CS56,2301CS57,2301CS58,2301CS59,2301CS60,2301CS61,2301CS63,2301CS64,2301CS65,2301CS66,2301CS67,2301CS68,2301CS69,2301CS70,2301CS71,2301CS72,2301CS73,2301CS74,2301CS75,2301CS76,2301CS77,2301CS78,2301CS79,2301CS80,2301CS81,2301CS82,2301CS83,2301CS84,2301CS85,2301CS86,2301CS87,2301CS88,2301CS89,2301CS90,2301CS91,2301CS92,2301CS93,2301CS94,2301CS95,2302CS01,2302CS02,2302CS03,2302CS04,2302CS05,2302CS06,2302CS07,2302CS08,2302CS09,2302CS10,2302CS11,"
50,20-09-2025,Saturday,Evening,PH4101,LT102,"2512PH01,2512PH02,2512PH03,2512PH04,2512PH06,2512PH07,2512PH08,2512PH09,2512PH10,2512PH11,2512PH12,2512PH13,2512PH14,2512PH15,2512PH16,2512PH17,2512PH18,2512PH19,2512PH20,2512PH22,2512PH23,2512PH26,"
51,20-09-2025,Saturday,Evening,ME3101,CC-1,"2301ME61,2301ME63,2301ME64,2301ME65,2301ME66,2301ME68,2301ME69,2301ME70,2301ME71,2301ME72,2301ME73,2301ME74,2301ME75,2301ME77,2301ME78,2301ME79,2301ME80,2302MT01,2302MT02,2302MT03,2302MT04,2302MT05,2302MT06,2302MT07,2302MT08,2302MT09,2303ME01,2303ME02,2303ME03,2303ME04,2303ME05,2303ME06,2303ME07,2303ME08,2303ME09,2303ME10,2303ME11,2303ME12,2303ME13,2303ME14,"
52,20-09-2025,Saturday,Morning,CS6112,LT003,"2511EV06,2511EV07,2511EV07,2511EV08,2511EV09,2511EV10,2511GT01,2511GT04,2511GT05,2511GT06,2511GT07,2511GT08,2511GT09,2511GT10,2511GT11,2511MD01,2511MD02,2511MD03,2511MD04,2511MD05,2511MD07,2511MD08,2511MD11,2511MD12,2511MD14,2511MD15,2511MM01,2511MM04,2511MM05,2511MM06,2511MM09,2511MT01,2511MT02,2511MT05,2511MT07,2511MT08,2511MT10,2511MT12,2511MT13,2511MT14,2511MT15,2511MT16,2511MT18,2511PC01,2511PC02,2511PC04,2511ST01,2511ST02,2511ST05,2511ST06,2511ST07,2511ST08,2511ST09,2511ST11,2511ST12,2511ST14,2511ST15,2511TF04,2511TF05,2511TF06,2511TF08,2511TF11,2511VL01,2511VL04,2511VL05,2511VL06,2511VL07,2511VL08,2511VL09,2521CS02,2521CS05,2521CS09,2521CS10,2521CS12,2521CS13,"
